test instance:6, number of pickup points: 20, number of delivery points: 50, number of orders: 100, number of riders: 50
nodes:
[no:1, type:'pickup point', x:3.001, y:6.044]
[no:2, type:'pickup point', x:6.286, y:7.341]
[no:3, type:'pickup point', x:3.145, y:7.808]
[no:4, type:'pickup point', x:1.564, y:2.349]
[no:5, type:'pickup point', x:6.467, y:8.035]
[no:6, type:'pickup point', x:4.593, y:6.46]
[no:7, type:'pickup point', x:6.964, y:8.728]
[no:8, type:'pickup point', x:3.054, y:8.697]
[no:9, type:'pickup point', x:4.3, y:3.041]
[no:10, type:'pickup point', x:5.47, y:2.328]
[no:11, type:'pickup point', x:2.991, y:7.764]
[no:12, type:'pickup point', x:7.13, y:7.154]
[no:13, type:'pickup point', x:5.055, y:8.199]
[no:14, type:'pickup point', x:9.69, y:1.598]
[no:15, type:'pickup point', x:2.795, y:3.013]
[no:16, type:'pickup point', x:3.018, y:6.187]
[no:17, type:'pickup point', x:1.656, y:7.234]
[no:18, type:'pickup point', x:1.296, y:6.976]
[no:19, type:'pickup point', x:9.177, y:7.399]
[no:20, type:'pickup point', x:6.657, y:4.745]
[no:21, type:'delivery point', x:5.025, y:4.075]
[no:22, type:'delivery point', x:2.706, y:3.365]
[no:23, type:'delivery point', x:8.776, y:3.445]
[no:24, type:'delivery point', x:7.14, y:8.674]
[no:25, type:'delivery point', x:6.684, y:1.458]
[no:26, type:'delivery point', x:7.422, y:7.365]
[no:27, type:'delivery point', x:6.016, y:1.186]
[no:28, type:'delivery point', x:5.921, y:3.946]
[no:29, type:'delivery point', x:5.699, y:6.426]
[no:30, type:'delivery point', x:1.294, y:2.674]
[no:31, type:'delivery point', x:5.009, y:2.364]
[no:32, type:'delivery point', x:1.008, y:0.482]
[no:33, type:'delivery point', x:7.816, y:7.145]
[no:34, type:'delivery point', x:5.827, y:6.417]
[no:35, type:'delivery point', x:8.507, y:6.588]
[no:36, type:'delivery point', x:0.883, y:2.87]
[no:37, type:'delivery point', x:7.127, y:7.946]
[no:38, type:'delivery point', x:9.506, y:3.945]
[no:39, type:'delivery point', x:5.502, y:7.617]
[no:40, type:'delivery point', x:5.353, y:6.763]
[no:41, type:'delivery point', x:3.14, y:2.014]
[no:42, type:'delivery point', x:5.621, y:2.152]
[no:43, type:'delivery point', x:1.591, y:0.427]
[no:44, type:'delivery point', x:3.084, y:2.246]
[no:45, type:'delivery point', x:8.576, y:3.628]
[no:46, type:'delivery point', x:7.56, y:3.836]
[no:47, type:'delivery point', x:8.688, y:2.233]
[no:48, type:'delivery point', x:8.024, y:7.953]
[no:49, type:'delivery point', x:5.776, y:4.374]
[no:50, type:'delivery point', x:5.042, y:8.155]
[no:51, type:'delivery point', x:3.196, y:3.118]
[no:52, type:'delivery point', x:9.451, y:2.24]
[no:53, type:'delivery point', x:2.047, y:0.24]
[no:54, type:'delivery point', x:7.291, y:4.707]
[no:55, type:'delivery point', x:4.243, y:4.453]
[no:56, type:'delivery point', x:2.876, y:0.189]
[no:57, type:'delivery point', x:6.8, y:9.016]
[no:58, type:'delivery point', x:1.595, y:1.281]
[no:59, type:'delivery point', x:6.071, y:5.746]
[no:60, type:'delivery point', x:1.518, y:7.735]
[no:61, type:'delivery point', x:5.846, y:9.896]
[no:62, type:'delivery point', x:8.253, y:7.81]
[no:63, type:'delivery point', x:1.19, y:3.111]
[no:64, type:'delivery point', x:0.579, y:6.715]
[no:65, type:'delivery point', x:0.691, y:9.719]
[no:66, type:'delivery point', x:5.371, y:1.578]
[no:67, type:'delivery point', x:3.404, y:5.0]
[no:68, type:'delivery point', x:9.062, y:7.104]
[no:69, type:'delivery point', x:3.178, y:2.737]
[no:70, type:'delivery point', x:9.491, y:1.202]
orders: 
[no:1, pickup point: 9, delivery point: 65, distance: 7.591, earliest pickup time: 0.0, latest pick time: 0.21, pickup time: 0.17, earliest delivery time: 2.4, latest delivery time: 2.56, delivery time: 0.19]
[no:2, pickup point: 2, delivery point: 56, distance: 7.923, earliest pickup time: 0.01, latest pick time: 0.15, pickup time: 0.11, earliest delivery time: 2.37, latest delivery time: 2.52, delivery time: 0.16]
[no:3, pickup point: 10, delivery point: 36, distance: 4.619, earliest pickup time: 0.01, latest pick time: 0.17, pickup time: 0.18, earliest delivery time: 1.58, latest delivery time: 1.8, delivery time: 0.11]
[no:4, pickup point: 4, delivery point: 55, distance: 3.406, earliest pickup time: 0.03, latest pick time: 0.19, pickup time: 0.19, earliest delivery time: 1.29, latest delivery time: 1.44, delivery time: 0.17]
[no:5, pickup point: 9, delivery point: 52, distance: 5.212, earliest pickup time: 0.05, latest pick time: 0.16, pickup time: 0.19, earliest delivery time: 1.74, latest delivery time: 1.95, delivery time: 0.16]
[no:6, pickup point: 4, delivery point: 54, distance: 6.193, earliest pickup time: 0.05, latest pick time: 0.25, pickup time: 0.14, earliest delivery time: 2.05, latest delivery time: 2.3, delivery time: 0.14]
[no:7, pickup point: 20, delivery point: 47, distance: 3.23, earliest pickup time: 0.06, latest pick time: 0.16, pickup time: 0.2, earliest delivery time: 1.22, latest delivery time: 1.37, delivery time: 0.16]
[no:8, pickup point: 5, delivery point: 64, distance: 6.034, earliest pickup time: 0.06, latest pick time: 0.18, pickup time: 0.1, earliest delivery time: 1.89, latest delivery time: 2.13, delivery time: 0.18]
[no:9, pickup point: 11, delivery point: 27, distance: 7.24, earliest pickup time: 0.07, latest pick time: 0.28, pickup time: 0.2, earliest delivery time: 2.41, latest delivery time: 2.65, delivery time: 0.18]
[no:10, pickup point: 12, delivery point: 43, distance: 8.714, earliest pickup time: 0.08, latest pick time: 0.28, pickup time: 0.18, earliest delivery time: 2.78, latest delivery time: 3.03, delivery time: 0.14]
[no:11, pickup point: 8, delivery point: 25, distance: 8.097, earliest pickup time: 0.12, latest pick time: 0.27, pickup time: 0.15, earliest delivery time: 2.58, latest delivery time: 2.75, delivery time: 0.15]
[no:12, pickup point: 20, delivery point: 34, distance: 1.867, earliest pickup time: 0.13, latest pick time: 0.29, pickup time: 0.2, earliest delivery time: 0.99, latest delivery time: 1.18, delivery time: 0.16]
[no:13, pickup point: 20, delivery point: 44, distance: 4.36, earliest pickup time: 0.14, latest pick time: 0.33, pickup time: 0.13, earliest delivery time: 1.62, latest delivery time: 1.73, delivery time: 0.12]
[no:14, pickup point: 7, delivery point: 69, distance: 7.087, earliest pickup time: 0.17, latest pick time: 0.34, pickup time: 0.16, earliest delivery time: 2.39, latest delivery time: 2.59, delivery time: 0.14]
[no:15, pickup point: 8, delivery point: 51, distance: 5.58, earliest pickup time: 0.17, latest pick time: 0.4, pickup time: 0.12, earliest delivery time: 2.0, latest delivery time: 2.16, delivery time: 0.12]
[no:16, pickup point: 7, delivery point: 40, distance: 2.541, earliest pickup time: 0.19, latest pick time: 0.43, pickup time: 0.16, earliest delivery time: 1.26, latest delivery time: 1.43, delivery time: 0.16]
[no:17, pickup point: 5, delivery point: 28, distance: 4.125, earliest pickup time: 0.2, latest pick time: 0.41, pickup time: 0.16, earliest delivery time: 1.67, latest delivery time: 1.81, delivery time: 0.12]
[no:18, pickup point: 18, delivery point: 39, distance: 4.255, earliest pickup time: 0.2, latest pick time: 0.43, pickup time: 0.18, earliest delivery time: 1.75, latest delivery time: 1.93, delivery time: 0.17]
[no:19, pickup point: 16, delivery point: 41, distance: 4.174, earliest pickup time: 0.22, latest pick time: 0.33, pickup time: 0.11, earliest delivery time: 1.55, latest delivery time: 1.77, delivery time: 0.13]
[no:20, pickup point: 18, delivery point: 48, distance: 6.799, earliest pickup time: 0.24, latest pick time: 0.48, pickup time: 0.13, earliest delivery time: 2.42, latest delivery time: 2.52, delivery time: 0.18]
[no:21, pickup point: 4, delivery point: 54, distance: 6.193, earliest pickup time: 0.25, latest pick time: 0.44, pickup time: 0.11, earliest delivery time: 2.2, latest delivery time: 2.42, delivery time: 0.19]
[no:22, pickup point: 9, delivery point: 27, distance: 2.527, earliest pickup time: 0.25, latest pick time: 0.44, pickup time: 0.15, earliest delivery time: 1.27, latest delivery time: 1.46, delivery time: 0.16]
[no:23, pickup point: 4, delivery point: 54, distance: 6.193, earliest pickup time: 0.25, latest pick time: 0.47, pickup time: 0.18, earliest delivery time: 2.3, latest delivery time: 2.44, delivery time: 0.15]
